(-1.75,-0)      (0,0)    (0.5,0)  (-0.5,-0)    (0.5,0)    (0,0.5)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)
     (0,0)   (1.75,0)    (0.5,0)  (-0.5,-0)    (0,0.5)  (-0.5,-0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)
   (0.5,0)    (0.5,0) (-1.75,-0)      (0,0)      (0,0)      (0,0)    (0.5,0)    (0,0.5)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)
 (-0.5,-0)  (-0.5,-0)      (0,0)   (1.75,0)      (0,0)      (0,0)    (0,0.5)  (-0.5,-0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)
   (0.5,0)  (-0,-0.5)      (0,0)      (0,0) (-1.75,-0)      (0,0)    (0.5,0)  (-0.5,-0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)
 (-0,-0.5)  (-0.5,-0)      (0,0)      (0,0)      (0,0)   (1.75,0)    (0.5,0)  (-0.5,-0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)
     (0,0)      (0,0)    (0.5,0)  (-0,-0.5)    (0.5,0)    (0.5,0) (-1.75,-0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)
     (0,0)      (0,0)  (-0,-0.5)  (-0.5,-0)  (-0.5,-0)  (-0.5,-0)      (0,0)   (1.75,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)
     (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0) (-1.75,-0)      (0,0)    (0.5,0)  (-0.5,-0)    (0.5,0)  (-0,-0.5)      (0,0)      (0,0)
     (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)   (1.75,0)    (0.5,0)  (-0.5,-0)  (-0,-0.5)  (-0.5,-0)      (0,0)      (0,0)
     (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)    (0.5,0)    (0.5,0) (-1.75,-0)      (0,0)      (0,0)      (0,0)    (0.5,0)  (-0,-0.5)
     (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)  (-0.5,-0)  (-0.5,-0)      (0,0)   (1.75,0)      (0,0)      (0,0)  (-0,-0.5)  (-0.5,-0)
     (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)    (0.5,0)    (0,0.5)      (0,0)      (0,0) (-1.75,-0)      (0,0)    (0.5,0)  (-0.5,-0)
     (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)    (0,0.5)  (-0.5,-0)      (0,0)      (0,0)      (0,0)   (1.75,0)    (0.5,0)  (-0.5,-0)
     (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)    (0.5,0)    (0,0.5)    (0.5,0)    (0.5,0) (-1.75,-0)      (0,0)
     (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)      (0,0)    (0,0.5)  (-0.5,-0)  (-0.5,-0)  (-0.5,-0)      (0,0)   (1.75,0)
