0.1	8.7375e-05	0.000102875	-7.9625e-05	-9.7125e-05
0.3	8.9125e-05	0.000105125	-8.0875e-05	-9.8875e-05
0.5	9.0625e-05	0.000107125	-8.2125e-05	-0.000100625
0.7	9.2125e-05	0.000109125	-8.3375e-05	-0.000102375
1.0	9.4375e-05	0.000112375	-8.5125e-05	-0.000105125
1.3	9.7e-05	0.000115	-8.675e-05	-0.00010775
1.6	9.8875e-05	0.000117875	-8.8125e-05	-0.000110125
2.0	0.00010125	0.00012175	-8.95e-05	-0.000113
2.5	0.000103875	0.000125875	-9.0625e-05	-0.000116625
3.0	0.000106375	0.000129375	-9.1375e-05	-0.000119375
3.5	0.000107375	0.000132875	-9.1125e-05	-0.000121625
4.0	0.000107625	0.000135125	-8.9625e-05	-0.000123125
5.0	0.000100875	0.000136875	-7.9625e-05	-0.000122625
6.0	5.45938e-05	0.000128094	-3.70937e-05	-0.000112594
6.5	-9.12344e-05	0.000115203	6.14219e-05	-9.93906e-05
7.0	-0.00356412	0.000298812	0.000602375	-0.000232875
7.5	-0.0150308	0.00141583	0.00557939	-0.00111514
10.0	-0.0257478	-0.0819738	0.0221069	0.846706
11.0	-0.0269896	-0.0828418	0.0231878	0.86402
12.0	-0.0277043	-0.0841545	0.0237151	0.870085
