0.1	0.006466	0.851167
0.5	0.005904	0.846294
1.0	0.006173	0.837404
1.5	0.00864237	0.798991
2.0	0.0120677	0.726861
2.5	0.0134534	0.703894
3.0	0.0155083	0.671793
3.5	0.0183688	0.614907
4.0	0.0221435	0.471605
4.5	0.0238681	0.335812
5.0	0.0238482	0.0933077
5.5	0.0202011	0.0372207
6.0	0.0170925	0.0251603
6.5	0.0146737	0.0193965
7.0	0.0126244	0.0157191
7.5	0.0111363	0.0133111
8.0	0.00976781	0.0113742
9.0	0.00778425	0.00874981
10.0	0.00634644	0.00698188
11.0	0.00526844	0.00571175
12.0	0.00444425	0.00476775
